"Record Type"	"Dataset Group / Study ID"	"Sources / Row ID"	"Overlap Assessment"	"Primary Quantitative Source"	"Rows Affected"	"Independent Use Rule"	"Review Status"
"Dataset-level audit"	"LPMEOH contaminant deactivation"	"T1-006 and T1-008"	"Exact contaminant concentrations and initial/contaminated/final deactivation rates match for PH3, COS, CS2, thiophene, CH3SCN, CH3Cl, CH3F, HCN, CH3CN, and CH3NH2. These are the same laboratory runs."	"T1-006 peer-reviewed article"	"T1-006 Tests 1-12 and corresponding T1-008 rows"	"Use T1-006 once for shared runs. Retain T1-008 only for unique AsH3, Fe(CO)5/Ni(CO)4, report context, and guard-bed/plant data."	"Reviewed in extraction audit"
"Dataset-level audit"	"Pd/CeO2 30 ppm H2S stability"	"T1-010 and T1-012"	"Same authors, catalyst, 30 ppm H2S, 240 C, 3.0 MPa, 1000 h^-1, 100 h; endpoints about 18.1-18.3% conversion and 89-89.1% MeOH selectivity. Very likely reused stability series."	"T1-012 for paired clean/contaminated MeOH-yield result; T1-010 for broader catalyst/condition context"	"T1-010-PDCE-X/S and T1-012-PDCE-X/S/Y"	"Do not count T1-010 and T1-012 Pd/CeO2 30 ppm rows as independent replicates. Use T1-012 MeOH yield once."	"Reviewed in extraction audit"
"Dataset-level audit"	"Pd/Al2O3 H2S stability"	"T1-010 and T1-012"	"Not the same condition: T1-010 explicitly uses 3 ppm H2S; T1-012 uses 30 ppm H2S and reports different endpoints."	"Both are independent concentration conditions"	"T1-010-PDAL-X/S and T1-012-PDAL-X/S"	"Keep both, labeled by 3 ppm versus 30 ppm."	"Reviewed in extraction audit"
"Dataset-level audit"							"Reviewed in extraction audit"
"Dataset-level audit"							"Reviewed in extraction audit"
"Dataset-level audit"							"Reviewed in extraction audit"
"Dataset-level audit"							"Reviewed in extraction audit"
"Experimental-row flag"	"T1-008"	"T1-008-PH3-17716-81"	"Duplicate dataset; use T1-006"	""	"T1-008-PH3-17716-81"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-COS-17716-60"	"Duplicate dataset; use T1-006"	""	"T1-008-COS-17716-60"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-CS2-17716-45"	"Duplicate dataset; use T1-006"	""	"T1-008-CS2-17716-45"	"Do not treat as an independent replicate until resolved."	"Flagged"
