Priority Rank	New Source ID	Why It Matters	Full Text Status	What Material Is Needed	Author Contact Required?
1	T1-016	Best direct multi-factor source: water vapour, H2S, N2 dilution, Cu catalyst comparison, and time-on-stream.	Fully open	Download article and SI; later extract all concentration/condition series and time traces.	No
2	T1-019	Foundational direct water-content series in liquid-phase methanol synthesis with rate and deactivation behavior.	Not obtained; paywalled	Full article, all water-series tables/figures, feed conditions, and recovery information.	Yes if library access fails
3	T1-024	Direct water co-feed study over Cu with methanol-specific rates and mechanistic separation of CO/CO2/H2/H2O effects.	Not obtained; paywalled	Accepted manuscript and SI with water co-feed conditions and rate tables.	Yes if library access fails
4	T1-043	Modern direct nonlinear water dose-response on Cu/ZnO single-atom catalysts; underrepresented catalyst architecture.	Main paper paywalled; SI available	Accepted manuscript and main figures/raw water-series data.	Yes if library access fails
5	T1-017	Direct benzene contamination experiment using industrial-source CO2 and long time-on-stream.	Fully open	Article and any SI; later extract clean/benzene time traces.	No
6	T1-022	Direct H2O/CO product-impact study over an underrepresented Ga2O3–Pd/SiO2 catalyst.	Repository copy available	Repository article and supplementary tables if separate.	No
7	T1-025	Direct water-resistance comparison across hydrophobic CuZn/SiO2 variants with stability measurements.	Not obtained; paywalled	Full article and SI, including water concentration and stability traces.	Yes if library access fails
8	T1-021	Independent high-pressure sulfur-poisoning kinetics with apparent regeneration relevance.	Not obtained; paywalled	Full article, regeneration protocol, poisoning kinetics, and feed composition.	Yes if library access fails
9	T1-030	Rare metal-carbonyl/COS slurry-reactor poisoning data, potentially valuable for a contaminant-specific submodel.	Not obtained; paywalled	Full article, run numbers, contaminant tables, and cross-references needed to audit overlap with T1-006/T1-008/T1-015.	Yes if library access fails
10	T1-026	Original higher-oxygenate experiments across several non-Cu and industrial Cu catalyst families.	Open thesis	Complete thesis PDF and chapter-level mapping to any later publications.	No
11	T1-036	Best current field dataset connecting real biogenic CO2 impurities to a methanol pre-synthesis stream.	Fully open	Article, SI, and machine-readable field sampling tables if available.	No
12	T1-041	Critical carbon-capture solvent-carryover source with amine/NH3 and produced-CO2-purity measurements.	Not obtained; paywalled	Accepted manuscript, impurity tables, sampling locations, and analytical limits.	Yes if library access fails
13	T1-037	Original alkaline-electrolyzer product-gas purity data for realistic green-H2 scenario inputs.	Repository route identified	Article or author manuscript; verify whether dissertation reproduces the same experiments.	No
14	T1-038	Direct PEM oxygen-crossover measurements that can parameterize O2-in-H2 scenarios.	Not obtained; paywalled	Accepted manuscript and full current-density/crossover concentration tables.	Yes if library access fails
15	T1-042	Five-month demonstration-scale capture/liquefaction record with measured CO2 impurities and amine degradation context.	Fully open	DTU publisher PDF and any supplementary campaign tables.	No
